覚える技1,覚える技2,覚える技3,覚える技4,覚える技5,覚える技6,覚える技7,覚える技8,覚える技9,覚える技10,覚える技11,覚える技12,覚える技13,覚える技14,覚える技15,覚える技16,覚える技17,覚える技18,覚える技19,覚える技20,覚える技21,覚える技22,覚える技23,覚える技24,覚える技25,覚える技26,覚える技27,覚える技28,覚える技29,覚える技30,覚える技31,覚える技32,覚える技33,覚える技34,覚える技35,覚える技36,覚える技37,覚える技38,覚える技39,覚える技40,覚える技41,覚える技42,覚える技43,覚える技44,覚える技45,覚える技46,覚える技47,覚える技48,覚える技49,覚える技50,覚える技51,覚える技52,覚える技53,覚える技54,覚える技55,覚える技56,覚える技57,覚える技58,覚える技59,覚える技60,覚える技61,覚える技62,覚える技63,覚える技64,覚える技65,覚える技66,覚える技67,覚える技68,覚える技69,覚える技70,覚える技71,覚える技72,覚える技73,覚える技74,覚える技75,覚える技76,覚える技77,覚える技78,覚える技79,覚える技80,覚える技81,覚える技82,覚える技83,覚える技84,覚える技85,覚える技86,覚える技87,覚える技88,覚える技89,覚える技90,覚える技91,覚える技92,覚える技93,覚える技94,覚える技95,覚える技96,覚える技97,覚える技98,覚える技99,覚える技100,覚える技101,覚える技102,覚える技103,覚える技104,覚える技105,覚える技106,覚える技107,覚える技108,覚える技109,覚える技110,覚える技111,覚える技112,覚える技113,覚える技114,覚える技115,覚える技116,覚える技117,覚える技118,覚える技119,覚える技120,覚える技121,覚える技122,覚える技123,覚える技124,覚える技125,覚える技126,覚える技127,覚える技128,覚える技129,覚える技130,覚える技131,覚える技132,覚える技133,覚える技134,覚える技135,覚える技136,覚える技137,覚える技138,覚える技139,覚える技140,覚える技141,覚える技142,覚える技143,覚える技144,覚える技145,覚える技146,覚える技147,覚える技148,覚える技149,覚える技150,覚える技151,覚える技152,覚える技153,覚える技154,覚える技155,覚える技156,覚える技157,覚える技158,覚える技159,覚える技160,覚える技161,覚える技162,覚える技163,覚える技164,覚える技165,覚える技166,覚える技167,覚える技168,覚える技169
"""はたく""","""なきごえ""","""みずでっぽう""","""しめつける""","""みずのはどう""","""なみだめ""","""ふいうち""","""とんぼがえり""","""アクアブレイク""","""みずびたし""","""あまごい""","""とっしん""","""まもる""","""みずのはどう""","""ひやみず""","""からげんき""","""スピードスター""","""マッドショット""","""なげつける""","""こらえる""","""あまごい""","""とんぼがえり""","""ねごと""","""リフレクター""","""ひかりのかべ""","""たきのぼり""","""ねむる""","""みがわり""","""アクアブレイク""","""なみのり""","""バトンタッチ""","""ハイドロポンプ""","""みずのちかい""","""テラバースト""","""しろいきり""","""かげぶんしん""","""くろいきり""","""アクアリング""","""こおりのつぶて""","""アクアジェット""","""とどめばり""","""いびき""","""メロメロ""","""しんぴのまもり""","""うずしお""","""ダイビング""","""ウェザーボール""","""だくりゅう""","""とびはねる""","""りんしょう""","""ふるいたてる""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""ねらいうち""","""アクロバット""","""はたく""","""なきごえ""","""みずでっぽう""","""しめつける""","""みずのはどう""","""なみだめ""","""ふいうち""","""とんぼがえり""","""アクアブレイク""","""みずびたし""","""あまごい""","""ハイドロポンプ""","""とっしん""","""こうそくいどう""","""まもる""","""みずのはどう""","""アクロバット""","""ひやみず""","""からげんき""","""スピードスター""","""こごえるかぜ""","""マッドショット""","""エアカッター""","""なげつける""","""こらえる""","""あまごい""","""ゆきげしき""","""とんぼがえり""","""エアスラッシュ""","""ねごと""","""リフレクター""","""ひかりのかべ""","""たきのぼり""","""ゆびをふる""","""ねむる""","""ちょうはつ""","""つるぎのまい""","""あくのはどう""","""みがわり""","""アクアブレイク""","""シャドーボール""","""なみのり""","""バトンタッチ""","""れいとうビーム""","""ハイドロポンプ""","""ふぶき""","""みずのちかい""","""ギガインパクト""","""ハイドロカノン""","""はかいこうせん""","""テラバースト""","""しろいきり""","""かげぶんしん""","""くろいきり""","""アクアリング""","""こおりのつぶて""","""アクアジェット""","""とどめばり""","""いびき""","""メロメロ""","""しんぴのまもり""","""うずしお""","""ダイビング""","""ウェザーボール""","""だくりゅう""","""とびはねる""","""りんしょう""","""ふるいたてる""","""きあいだめ""","""つららばり""","""ねっとう""","""ワイドブレイカー""","""スケイルショット""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""たいあたり""","""しっぽをふる""","""かみつく""","""ほおばる""","""たくわえる""","""のみこむ""","""はきだす""","""のしかかり""","""ねむる""","""カウンター""","""タネマシンガン""","""いかりのまえば""","""とっしん""","""どろかけ""","""まもる""","""どろぼう""","""くさわけ""","""からげんき""","""マッドショット""","""なげつける""","""こらえる""","""あなをほる""","""タネマシンガン""","""のしかかり""","""ねごと""","""タネばくだん""","""ねむる""","""みがわり""","""かみくだく""","""ハイパーボイス""","""ドわすれ""","""テラバースト""","""まるくなる""","""はらだいこ""","""ころがる""","""とっておき""","""いびき""","""メロメロ""","""アイアンテール""","""さわぐ""","""ジャイロボール""","""しっぺがえし""","""ダメおし""","""りんしょう""","""スイープビンタ""","""ぶんまわす""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""ほしがる""","""たいあたり""","""しっぽをふる""","""かみつく""","""ほおばる""","""たくわえる""","""のみこむ""","""はきだす""","""のしかかり""","""ねむる""","""カウンター""","""タネマシンガン""","""いかりのまえば""","""とっしん""","""どろかけ""","""まもる""","""ほのおのキバ""","""かみなりのキバ""","""こおりのキバ""","""どろぼう""","""からげんき""","""じならし""","""マッドショット""","""なげつける""","""こらえる""","""にほんばれ""","""あまごい""","""あなをほる""","""タネマシンガン""","""サイコファング""","""のしかかり""","""ねごと""","""タネばくだん""","""じだんだ""","""ねむる""","""つるぎのまい""","""ボディプレス""","""みがわり""","""かみくだく""","""ハイパーボイス""","""ドわすれ""","""ワイルドボルト""","""じしん""","""ギガインパクト""","""はかいこうせん""","""テラバースト""","""まるくなる""","""はらだいこ""","""ころがる""","""とっておき""","""いびき""","""メロメロ""","""アイアンテール""","""さわぐ""","""ジャイロボール""","""しっぺがえし""","""ダメおし""","""りんしょう""","""スイープビンタ""","""ぶんまわす""","""ばかぢから""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""つつく""","""にらみつける""","""つけあがる""","""つめとぎ""","""みだれづき""","""ついばむ""","""ちょうはつ""","""こわいかお""","""ドリルくちばし""","""いばる""","""ブレイブバード""","""とっしん""","""うそなき""","""こうそくいどう""","""こわいかお""","""まもる""","""どろぼう""","""からげんき""","""つばめがえし""","""スピードスター""","""エアカッター""","""こらえる""","""とんぼがえり""","""エアスラッシュ""","""ねごと""","""ねむる""","""ちょうはつ""","""そらをとぶ""","""みがわり""","""おいかぜ""","""きしかいせい""","""わるだくみ""","""ブレイブバード""","""テラバースト""","""すなかけ""","""ゴッドバード""","""うらみ""","""いわくだき""","""はねやすめ""","""おいかぜ""","""きりばらい""","""きあいだめ""","""いびき""","""メロメロ""","""リベンジ""","""しっぺがえし""","""ダメおし""","""りんしょう""","""かたきうち""","""ふるいたてる""","""ダブルウイング""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""つつく""","""にらみつける""","""つけあがる""","""つめとぎ""","""みだれづき""","""ついばむ""","""ちょうはつ""","""こわいかお""","""ドリルくちばし""","""いばる""","""ブレイブバード""","""とっしん""","""うそなき""","""こうそくいどう""","""こわいかお""","""まもる""","""どろぼう""","""からげんき""","""つばめがえし""","""スピードスター""","""エアカッター""","""こらえる""","""にほんばれ""","""とんぼがえり""","""エアスラッシュ""","""ねごと""","""ねむる""","""ちょうはつ""","""そらをとぶ""","""みがわり""","""おいかぜ""","""きしかいせい""","""わるだくみ""","""ぼうふう""","""ブレイブバード""","""テラバースト""","""すなかけ""","""ゴッドバード""","""うらみ""","""いわくだき""","""はねやすめ""","""おいかぜ""","""きりばらい""","""きあいだめ""","""いびき""","""メロメロ""","""リベンジ""","""しっぺがえし""","""ダメおし""","""りんしょう""","""かたきうち""","""ふるいたてる""","""ダブルウイング""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""はがねのつばさ""","""てっぺき""","""きんぞくおん""","""つつく""","""にらみつける""","""つけあがる""","""つめとぎ""","""いやなおと""","""みだれづき""","""ついばむ""","""ちょうはつ""","""こわいかお""","""ドリルくちばし""","""いばる""","""ブレイブバード""","""とっしん""","""うそなき""","""こうそくいどう""","""こわいかお""","""まもる""","""どろぼう""","""からげんき""","""つばめがえし""","""メタルクロー""","""スピードスター""","""エアカッター""","""こらえる""","""にほんばれ""","""あまごい""","""とんぼがえり""","""ビルドアップ""","""エアスラッシュ""","""のしかかり""","""ねごと""","""リフレクター""","""ひかりのかべ""","""ねむる""","""ちょうはつ""","""ボディプレス""","""ラスターカノン""","""そらをとぶ""","""アイアンヘッド""","""みがわり""","""てっぺき""","""おいかぜ""","""ヘビーボンバー""","""きしかいせい""","""わるだくみ""","""ギガインパクト""","""ぼうふう""","""はかいこうせん""","""ブレイブバード""","""てっていこうせん""","""テラバースト""","""すなかけ""","""ゴッドバード""","""うらみ""","""いわくだき""","""はねやすめ""","""おいかぜ""","""きりばらい""","""きあいだめ""","""いびき""","""メロメロ""","""リベンジ""","""しっぺがえし""","""ダメおし""","""りんしょう""","""かたきうち""","""ふるいたてる""","""ダブルウイング""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""むしのていこう""","""ちょうおんぱ""","""じこさいせい""","""まとわりつく""","""ねばねばネット""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""リフレクター""","""ひかりのかべ""","""ねんりき""","""リフレクター""","""ひかりのかべ""","""ねんりき""","""むしのていこう""","""ソーラービーム""","""ひかりのかべ""","""リフレクター""","""しんぴのまもり""","""ねむる""","""いびき""","""まもる""","""メロメロ""","""からげんき""","""てだすけ""","""ふういん""","""しっぺがえし""","""パワースワップ""","""ガードスワップ""","""トリックルーム""","""ワンダールーム""","""マジックルーム""","""りんしょう""","""サイコフィールド""","""サイコキネシス""","""きゅうけつ""","""みがわり""","""サイコショック""","""こらえる""","""ねごと""","""シャドーボール""","""みらいよち""","""トリック""","""スキルスワップ""","""てっぺき""","""めいそう""","""むしのさざめき""","""エナジーボール""","""しねんのずつき""","""アシストパワー""","""サイドチェンジ""","""ボディプレス""","""ちょうおんぱ""","""じこさいせい""","""まとわりつく""","""ねばねばネット""","""ワイドフォース""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""リフレクター""","""ひかりのかべ""","""ねんりき""","""むしのていこう""","""あやしいひかり""","""マジックコート""","""こうそくいどう""","""サイケこうせん""","""さいみんじゅつ""","""サイドチェンジ""","""むしのさざめき""","""ミラーコート""","""サイコキネシス""","""おさきにどうぞ""","""めいそう""","""サイコフィールド""","""はかいこうせん""","""ギガインパクト""","""ソーラービーム""","""ひかりのかべ""","""リフレクター""","""しんぴのまもり""","""ねむる""","""いびき""","""まもる""","""ギガドレイン""","""メロメロ""","""からげんき""","""てだすけ""","""ふういん""","""とんぼがえり""","""しっぺがえし""","""パワースワップ""","""ガードスワップ""","""サイコカッター""","""トリックルーム""","""ワンダールーム""","""マジックルーム""","""りんしょう""","""サイコフィールド""","""サイコキネシス""","""こうそくいどう""","""きゅうけつ""","""みがわり""","""サイコショック""","""こらえる""","""ねごと""","""バトンタッチ""","""シャドーボール""","""みらいよち""","""トリック""","""スキルスワップ""","""てっぺき""","""めいそう""","""むしのさざめき""","""エナジーボール""","""しねんのずつき""","""アシストパワー""","""サイドチェンジ""","""ボディプレス""","""ちょうおんぱ""","""じこさいせい""","""まとわりつく""","""ねばねばネット""","""ワイドフォース""","""キョダイテンドウ""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""でんこうせっか""","""しっぽをふる""","""ふくろだたき""","""つめとぎ""","""バークアウト""","""ダメおし""","""わるだくみ""","""ふいうち""","""つじぎり""","""スイープビンタ""","""イカサマ""","""あなをほる""","""いやなおと""","""ねむる""","""どろぼう""","""いびき""","""まもる""","""メロメロ""","""ふくろだたき""","""からげんき""","""スピードスター""","""うそなき""","""マッドショット""","""ダメおし""","""りんしょう""","""スイープビンタ""","""バークアウト""","""こうそくいどう""","""みがわり""","""こらえる""","""ねごと""","""バトンタッチ""","""ちょうはつ""","""わるだくみ""","""イカサマ""","""じゃれつく""","""いちゃもん""","""はたきおとす""","""とおぼえ""","""ファストガード""","""うっぷんばらし""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""どろぼう""","""どろぼう""","""でんこうせっか""","""しっぽをふる""","""ふくろだたき""","""つめとぎ""","""バークアウト""","""ダメおし""","""わるだくみ""","""ふいうち""","""つじぎり""","""スイープビンタ""","""イカサマ""","""すてゼリフ""","""はかいこうせん""","""ギガインパクト""","""あなをほる""","""いやなおと""","""ねむる""","""どろぼう""","""いびき""","""まもる""","""メロメロ""","""ふくろだたき""","""からげんき""","""スピードスター""","""うそなき""","""マッドショット""","""とんぼがえり""","""ダメおし""","""シャドークロー""","""かみなりのキバ""","""こおりのキバ""","""ほのおのキバ""","""りんしょう""","""アクロバット""","""スイープビンタ""","""バークアウト""","""サイコキネシス""","""こうそくいどう""","""みがわり""","""こらえる""","""ねごと""","""バトンタッチ""","""かみくだく""","""シャドーボール""","""ちょうはつ""","""あくのはどう""","""わるだくみ""","""くさむすび""","""イカサマ""","""じゃれつく""","""いちゃもん""","""はたきおとす""","""とおぼえ""","""ファストガード""","""しっとのほのお""","""うっぷんばらし""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""このは""","""うたう""","""こうそくスピン""","""あまいかおり""","""はっぱカッター""","""りんしょう""","""グラスミキサー""","""こうごうせい""","""ハイパーボイス""","""アロマセラピー""","""リーフストーム""","""マジカルリーフ""","""ソーラービーム""","""ひかりのかべ""","""ねむる""","""いびき""","""まもる""","""ギガドレイン""","""あまえる""","""メロメロ""","""にほんばれ""","""からげんき""","""てだすけ""","""タネマシンガン""","""りんしょう""","""グラスフィールド""","""みがわり""","""こらえる""","""ねごと""","""ハイパーボイス""","""エナジーボール""","""リーフストーム""","""くさむすび""","""かふんだんご""","""やどりぎのタネ""","""せいちょう""","""どくのこな""","""しびれごな""","""ねむりごな""","""なやみのタネ""","""グラススライダー""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""わたほうし""","""わたほうし""","""このは""","""うたう""","""こうそくスピン""","""あまいかおり""","""はっぱカッター""","""りんしょう""","""グラスミキサー""","""こうごうせい""","""ハイパーボイス""","""アロマセラピー""","""リーフストーム""","""コットンガード""","""はかいこうせん""","""ギガインパクト""","""マジカルリーフ""","""ソーラービーム""","""ひかりのかべ""","""ねむる""","""いびき""","""まもる""","""ギガドレイン""","""あまえる""","""メロメロ""","""にほんばれ""","""からげんき""","""てだすけ""","""ウェザーボール""","""タネマシンガン""","""りんしょう""","""グラスフィールド""","""みがわり""","""こらえる""","""ねごと""","""ハイパーボイス""","""タネばくだん""","""エナジーボール""","""リーフストーム""","""くさむすび""","""かふんだんご""","""やどりぎのタネ""","""せいちょう""","""どくのこな""","""しびれごな""","""ねむりごな""","""なやみのタネ""","""グラススライダー""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""たいあたり""","""なきごえ""","""まるくなる""","""まねっこ""","""ガードシェア""","""にどげり""","""ずつき""","""とっしん""","""ガードスワップ""","""きしかいせい""","""コットンガード""","""すてみタックル""","""でんじは""","""ねむる""","""いびき""","""まもる""","""メロメロ""","""からげんき""","""しっぺがえし""","""ガードスワップ""","""りんしょう""","""こうそくいどう""","""みがわり""","""きしかいせい""","""こらえる""","""ねごと""","""エレキボール""","""ワイルドボルト""","""ふみつけ""","""カウンター""","""いばる""","""グラススライダー""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""たいあたり""","""なきごえ""","""まるくなる""","""まねっこ""","""ガードシェア""","""にどげり""","""ずつき""","""とっしん""","""ガードスワップ""","""きしかいせい""","""コットンガード""","""すてみタックル""","""とっておき""","""メガトンキック""","""はかいこうせん""","""ギガインパクト""","""でんじは""","""ねむる""","""いびき""","""まもる""","""メロメロ""","""からげんき""","""とびはねる""","""しっぺがえし""","""ガードスワップ""","""りんしょう""","""かたきうち""","""つるぎのまい""","""のしかかり""","""こうそくいどう""","""みがわり""","""きしかいせい""","""こらえる""","""ねごと""","""バトンタッチ""","""しねんのずつき""","""エレキボール""","""ワイルドボルト""","""ボディプレス""","""ふみつけ""","""カウンター""","""いばる""","""グラススライダー""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
